time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/value_loss
231,176128,86,21.15,0.94,762,0.0001,0.02509765625,0.3541351,850,-0.4809793640859425,-0.0017282460561546032,0.0022979744,0.2,0.033097393810749054,0.05671185838291422
233,178176,87,23.05,0.88,761,0.0001,0.021826171875,0.5243302,860,-0.4750401564873755,-0.0017305312161624898,0.0053242794,0.2,0.021713055670261383,0.03556157319399063
236,180224,88,22.36,0.86,760,0.0001,0.034619140625,0.40525764,870,-0.4773208557628095,-0.0018224998850200791,0.004375782,0.2,0.051048196852207184,0.054298825311707336
239,182272,89,21.43,0.8,760,0.0001,0.007080078125,0.47698313,880,-0.4894517969340086,-0.00028999322094023226,0.0020995599,0.2,0.03819626569747925,0.048817363515263425
240,184320,90,22.06,0.86,765,0.0001,0.011376953125,0.3211407,890,-0.49458517218008635,-5.686114454874769e-05,0.006189606,0.2,0.024432972073554993,0.07020630477927625
242,186368,91,21.67,0.9,770,0.0001,0.049853515625,0.29599828,900,-0.4829712389037013,-0.005229535243051942,0.00905933,0.2,0.01487916149199009,0.06352774641709402
243,188416,92,22.74,0.88,774,0.0001,0.0208984375,0.44395232,910,-0.4360607684589922,-0.0027015608240617437,0.0068574175,0.2,0.04801506549119949,0.048413381935097276
244,190464,93,21.48,0.88,779,0.0001,0.04716796875,0.38904977,920,-0.49207576662302016,-0.0032883977168239654,0.004503689,0.2,0.0335208922624588,0.05629708141786978
245,192512,94,21.7,0.92,783,0.0001,0.013330078125,0.44689757,930,-0.5192186309024691,-0.000821185861423146,0.0057427743,0.2,0.006548548117280006,0.050934130582027136
246,194560,95,22.53,0.94,788,0.0001,0.024609375,0.4759305,940,-0.5018562144599855,-0.0018354763880779501,0.00835574,0.2,0.0696583241224289,0.042647549670073205
