rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates,train/learning_rate
22.31,511,200704,0.94,98,392,-2.921657524257898,0.049072265625,-0.007981048530200496,0.2,0.014477245509624481,0.34394717,0.0062062778,0.06395786138018593,970,0.0001
21.76,516,202752,0.94,99,392,-2.9550323493778707,0.072314453125,-0.009574683055689093,0.2,0.008431220427155495,0.5430467,0.00860028,0.03231479917303659,980,0.0001
22.39,521,204800,0.92,100,392,-2.9223788119852543,0.05576171875,-0.011557714198715985,0.2,0.0030437279492616653,0.48266125,0.00802172,0.037967446725815535,990,0.0001
20.71,527,206848,0.88,101,392,-2.9028992556035518,0.02646484375,-0.007928417716175317,0.2,0.016585353761911392,0.33470553,0.0061482876,0.04902670895680785,1000,0.0001
22.04,532,208896,0.94,102,392,-2.8994277328252793,0.0408203125,-0.009105395108053926,0.2,0.014761684462428093,0.41199386,0.00923623,0.04595149008091539,1010,0.0001
21.07,537,210944,0.88,103,392,-2.942840238660574,0.06884765625,-0.010196440067375079,0.2,-0.018944960087537766,0.44323063,0.009101015,0.042371908988570794,1020,0.0001
20.73,542,212992,0.94,104,392,-2.926800126582384,0.05087890625,-0.00925837141548982,0.2,0.02837427332997322,0.4022838,0.0073612626,0.05292556197964586,1030,0.0001
21.33,548,215040,0.9,105,392,-2.945037442445755,0.046826171875,-0.008249088921002113,0.2,-0.022063422948122025,0.4740395,0.005709982,0.03864709044573829,1040,0.0001
22.35,553,217088,0.88,106,392,-2.9504040122032165,0.0458984375,-0.00782099358693813,0.2,0.016937430948019028,0.43190962,0.0079123285,0.04645614839973859,1050,0.0001
23.9,558,219136,0.84,107,392,-2.963325524330139,0.080029296875,-0.011135368487884989,0.2,0.003530474379658699,0.36709708,0.0071634934,0.05038686754414812,1060,0.0001
